_id,jobId,transcriptId,intentAnalysisOutput,addedOn,main_intent,intent_detail,intent_solution
68d5354b97faae75d3edd9ce,CXJ-005D,HB_20250729143247679169288269VOICE92abfc6b0e08461e80cb09bbde2935a5,"{'main_intent': 'document review', 'intent_detail': 'Document review refers to the process of examining submitted paperwork for accuracy.', 'intent_solution': 'Created a case for review.'}",1758803275,document review,Document review refers to the process of examining submitted paperwork for accuracy.,Created a case for review.
68d5354c97faae75d3edd9cf,CXJ-005D,HB_20250729143249679169288679VOICEb246d9da74104602bcdd412c24d90081,"{'main_intent': 'unfreeze card', 'intent_detail': 'Unfreeze card refers to the process of reactivating a frozen card.', 'intent_solution': 'Created case to resolve issue.'}",1758803276,unfreeze card,Unfreeze card refers to the process of reactivating a frozen card.,Created case to resolve issue.
68d5354d97faae75d3edd9d0,CXJ-005D,HB_20250729143916679169291882VOICEe35fe64562794c02a6b6de31318c2436,"{'main_intent': 'reactivate card', 'intent_detail': 'Reactivate card refers to making a previously suspended card active again.', 'intent_solution': 'Confirmed card is active.'}",1758803277,reactivate card,Reactivate card refers to making a previously suspended card active again.,Confirmed card is active.
68d5354d97faae75d3edd9d1,CXJ-005D,HB_20250729144643679169275572VOICE7e2b2f5d4a854d8e8b272929703b78f8,"{'main_intent': 'transaction inquiry', 'intent_detail': 'Transaction inquiry refers to investigating a specific transaction on an account.', 'intent_solution': 'Transferred to billing department'}",1758803277,transaction inquiry,Transaction inquiry refers to investigating a specific transaction on an account.,Transferred to billing department
68d5354e97faae75d3edd9d2,CXJ-005D,HB_20250729144830679169301740VOICEc6c33e43741f49919cecc30a5e8519ba,"{'main_intent': 'commuter benefits', 'intent_detail': 'Commuter benefits refer to pre-tax funds for transit and parking expenses.', 'intent_solution': 'Explained prepaid Mastercard eligibility.'}",1758803278,commuter benefits,Commuter benefits refer to pre-tax funds for transit and parking expenses.,Explained prepaid Mastercard eligibility.
68d5354f97faae75d3edd9d3,CXJ-005D,HB_20250729150738679169334523VOICEaf0cb2ee28a44e908e28c8a63493cc88,"{'main_intent': 'coverage confirmation', 'intent_detail': 'Coverage confirmation refers to verifying the status of insurance coverage.', 'intent_solution': 'advised to contact Delta Dental'}",1758803279,coverage confirmation,Coverage confirmation refers to verifying the status of insurance coverage.,advised to contact Delta Dental
68d5355097faae75d3edd9d4,CXJ-005D,HB_20250729151147679169326420VOICEea4b7555f1cf4b49bd20ea1cc00749bd,"{'main_intent': 'reactivate card', 'intent_detail': 'Reactivate card refers to restoring the functionality of a suspended card.', 'intent_solution': 'Upload required documentation for reactivation.'}",1758803280,reactivate card,Reactivate card refers to restoring the functionality of a suspended card.,Upload required documentation for reactivation.
68d5355197faae75d3edd9d5,CXJ-005D,HB_20250729153613679169376353VOICE804d9669792d40fc962979ef1c8fa1f2,"{'main_intent': 'payment method', 'intent_detail': 'Payment method refers to the way payments are made for services.', 'intent_solution': 'Confirmed automatic payment setup.'}",1758803281,payment method,Payment method refers to the way payments are made for services.,Confirmed automatic payment setup.
68d5355297faae75d3edd9d6,CXJ-005D,HB_20250729154243679169385945VOICEb8f13ef9c2c5464284f6935c9bad84b1,"{'main_intent': 'reactivate card', 'intent_detail': 'Reactivate card refers to re-enabling a previously deactivated card.', 'intent_solution': 'Confirmed card reactivation and account balance.'}",1758803282,reactivate card,Reactivate card refers to re-enabling a previously deactivated card.,Confirmed card reactivation and account balance.
68d5355297faae75d3edd9d7,CXJ-005D,HB_20250729155349679169392812VOICEd6a4ac9487014a3b8a0664a4fe8fadc3,"{'main_intent': 'reimbursement process', 'intent_detail': 'Reimbursement process refers to the procedure for getting money back.', 'intent_solution': 'Sent reimbursement form and instructions.'}",1758803282,reimbursement process,Reimbursement process refers to the procedure for getting money back.,Sent reimbursement form and instructions.
68d5355397faae75d3edd9d8,CXJ-005D,HB_20250729160054679169408101VOICE9c6918ee6d4c4125aef8d552c8eab105,"{'main_intent': 'reactivate card', 'intent_detail': 'Reactivate card refers to restoring the functionality of a suspended card.', 'intent_solution': 'Send check to specified address.'}",1758803283,reactivate card,Reactivate card refers to restoring the functionality of a suspended card.,Send check to specified address.
68d5355497faae75d3edd9d9,CXJ-005D,HB_20250729160150679169410060VOICE2901bd4a24f746289b4dc91d99c0e522,"{'main_intent': 'spending account usage', 'intent_detail': 'spending account usage refers to how funds in a flexible spending account can be utilized.', 'intent_solution': 'explained usage rules and grace period'}",1758803284,spending account usage,spending account usage refers to how funds in a flexible spending account can be utilized.,explained usage rules and grace period
68d5355597faae75d3edd9da,CXJ-005D,HB_20250729160359679169403038VOICE47bfc61315f64e748f6af22e7d3ccb68,"{'main_intent': 'cancel benefits', 'intent_detail': 'Cancel benefits refers to stopping specific employee benefits or deductions.', 'intent_solution': 'Ordered replacement card for account setup.'}",1758803285,cancel benefits,Cancel benefits refers to stopping specific employee benefits or deductions.,Ordered replacement card for account setup.
68d5355697faae75d3edd9db,CXJ-005D,HB_20250729160600679169416164VOICE069df050a999443883840e6493bd6189,"{'main_intent': 'card request', 'intent_detail': 'Card request refers to the process of requesting a new debit card.', 'intent_solution': 'Requested and created case for new card.'}",1758803286,card request,Card request refers to the process of requesting a new debit card.,Requested and created case for new card.
68d5355697faae75d3edd9dc,CXJ-005D,HB_20250729160631679169418367VOICE7e03a8cded1740718c463f18611e5a67,"{'main_intent': 'check balance', 'intent_detail': 'Check balance refers to verifying the available funds in an account.', 'intent_solution': 'Provided balance and website for account setup.'}",1758803286,check balance,Check balance refers to verifying the available funds in an account.,Provided balance and website for account setup.
68d5355797faae75d3edd9dd,CXJ-005D,HB_20250729161257679169425997VOICE89b19164577345c8a73c68bee125ee17,"{'main_intent': 'transaction inquiry', 'intent_detail': 'Transaction inquiry refers to checking the status of a financial transaction.', 'intent_solution': 'Checked transaction status and provided information.'}",1758803287,transaction inquiry,Transaction inquiry refers to checking the status of a financial transaction.,Checked transaction status and provided information.
68d5355897faae75d3edd9de,CXJ-005D,HB_20250729161604679169430135VOICE93358a1ac9574503b514003ab82510d4,"{'main_intent': 'missing debit card', 'intent_detail': 'missing debit card refers to not receiving a debit card.', 'intent_solution': 'advised re-enrollment for benefits'}",1758803288,missing debit card,missing debit card refers to not receiving a debit card.,advised re-enrollment for benefits
68d5355897faae75d3edd9df,CXJ-005D,HB_20250729162319679169440868VOICE2ddd5a1a678a47388cf0be78665d2ed4,"{'main_intent': 'increase spending limit', 'intent_detail': 'Increase spending limit refers to raising the maximum amount allowed for daily transactions.', 'intent_solution': 'coordinated with debit card department to increase limit'}",1758803288,increase spending limit,Increase spending limit refers to raising the maximum amount allowed for daily transactions.,coordinated with debit card department to increase limit
68d5355997faae75d3edd9e0,CXJ-005D,HB_20250729162607679169446886VOICE2e62e9db67164a8bb1aeb5e00bdc748c,"{'main_intent': 'subsidy confirmation', 'intent_detail': 'Subsidy confirmation refers to verifying the receipt of subsidy information.', 'intent_solution': 'Agent confirmed subsidy process and enrollment steps.'}",1758803289,subsidy confirmation,Subsidy confirmation refers to verifying the receipt of subsidy information.,Agent confirmed subsidy process and enrollment steps.
68d5355a97faae75d3edd9e1,CXJ-005D,HB_20250729164149679169464827VOICE67aff19a8aa342acb356e698411d3c55,"{'main_intent': 'reset password', 'intent_detail': 'Reset password refers to the process of updating a forgotten or compromised password.', 'intent_solution': 'Sent password recovery link.'}",1758803290,reset password,Reset password refers to the process of updating a forgotten or compromised password.,Sent password recovery link.
68d5355b97faae75d3edd9e2,CXJ-005D,HB_20250729164353679169470591VOICE8bf1a8cb317b492291142b137bf352e0,"{'main_intent': 'check balance', 'intent_detail': 'check balance refers to verifying the available funds in an account.', 'intent_solution': 'provided the current balance'}",1758803291,check balance,check balance refers to verifying the available funds in an account.,provided the current balance
68d5355c97faae75d3edd9e3,CXJ-005D,HB_20250729164551679169470905VOICE4cc0d75fb57c4edca6202ef93c611cfc,"{'main_intent': 'claim status', 'intent_detail': 'Claim status refers to the current processing state of a submitted claim.', 'intent_solution': 'Confirmed pending payment process.'}",1758803292,claim status,Claim status refers to the current processing state of a submitted claim.,Confirmed pending payment process.
68d5355d97faae75d3edd9e4,CXJ-005D,HB_20250729165357679169476642VOICEf1a359a7904449178901867e4e5a8e25,"{'main_intent': 'coverage confirmation', 'intent_detail': 'Coverage confirmation refers to verifying the details of insurance coverage.', 'intent_solution': 'Explained grace period and eligible expenses.'}",1758803293,coverage confirmation,Coverage confirmation refers to verifying the details of insurance coverage.,Explained grace period and eligible expenses.
68d5355d97faae75d3edd9e5,CXJ-005D,HB_20250729165814679169485233VOICE01f5357f4e7d47d88e1e7cf555df79b0,"{'main_intent': 'close account', 'intent_detail': 'Close account refers to the process of terminating an account.', 'intent_solution': 'Provided closure instructions and email address.'}",1758803293,close account,Close account refers to the process of terminating an account.,Provided closure instructions and email address.
68d5355e97faae75d3edd9e6,CXJ-005D,HB_20250729171115679169499758VOICEae758d5155cb4934a23810a9cb6701c6,"{'main_intent': 'payment setup', 'intent_detail': 'Payment setup refers to configuring a method for making payments.', 'intent_solution': 'Transferred to HSA department.'}",1758803294,payment setup,Payment setup refers to configuring a method for making payments.,Transferred to HSA department.
68d5355f97faae75d3edd9e7,CXJ-005D,HB_20250729172202679169512136VOICEa2de9186c1de4ec1be271065ed099313,"{'main_intent': 'missing debit card', 'intent_detail': 'missing debit card refers to a situation where a customer has not received their debit card after requesting a replacement.', 'intent_solution': 'agent confirmed card shipment status'}",1758803295,missing debit card,missing debit card refers to a situation where a customer has not received their debit card after requesting a replacement.,agent confirmed card shipment status
68d5356097faae75d3edd9e8,CXJ-005D,HB_20250729172255679169515026VOICE34a00203cd704014a8403db6b8f6eb22,"{'main_intent': 'transaction inquiry', 'intent_detail': 'Transaction inquiry refers to a request for details about a specific financial transaction.', 'intent_solution': 'Provided transaction details and suggested reimbursement options.'}",1758803296,transaction inquiry,Transaction inquiry refers to a request for details about a specific financial transaction.,Provided transaction details and suggested reimbursement options.
68d5356197faae75d3edd9e9,CXJ-005D,HB_20250729172954679169523675VOICEf883a8d1848f46b8ad34150adb56633b,"{'main_intent': 'eligibility update', 'intent_detail': 'Eligibility update refers to verifying the status of coverage for an insurance policy.', 'intent_solution': 'Confirmed eligibility status via email records.'}",1758803297,eligibility update,Eligibility update refers to verifying the status of coverage for an insurance policy.,Confirmed eligibility status via email records.
68d5356297faae75d3edd9ea,CXJ-005D,HB_20250729173222679169508889VOICE6ba8c23b87004f31b8459ea36ba063e3,"{'main_intent': 'check inquiry', 'intent_detail': 'Check inquiry refers to identifying the purpose of a received check.', 'intent_solution': 'Contact backend team for details.'}",1758803298,check inquiry,Check inquiry refers to identifying the purpose of a received check.,Contact backend team for details.
68d5356297faae75d3edd9eb,CXJ-005D,HB_20250729173529679169531745VOICE0fe7c7df6125473098e96ca1cb547dd0,"{'main_intent': 'transaction inquiry', 'intent_detail': 'Transaction inquiry refers to a request for details about a specific transaction.', 'intent_solution': 'Explained card setup and coverage.'}",1758803298,transaction inquiry,Transaction inquiry refers to a request for details about a specific transaction.,Explained card setup and coverage.
68d5356397faae75d3edd9ec,CXJ-005D,HB_20250729173843679169534493VOICE566eb87679f742068a35670ec84a8a08,"{'main_intent': 'report fraud', 'intent_detail': 'Report fraud refers to notifying the institution about suspicious transactions.', 'intent_solution': 'Verified transactions and informed fraud team.'}",1758803299,report fraud,Report fraud refers to notifying the institution about suspicious transactions.,Verified transactions and informed fraud team.
68d5356497faae75d3edd9ed,CXJ-005D,HB_20250729175114679169553396VOICEf8628581eb294821a93c1b422478b6f8,"{'main_intent': 'coverage continuation', 'intent_detail': 'Coverage continuation refers to extending health insurance after initial coverage ends.', 'intent_solution': 'Explained options for continuing coverage.'}",1758803300,coverage continuation,Coverage continuation refers to extending health insurance after initial coverage ends.,Explained options for continuing coverage.
68d5356597faae75d3edd9ee,CXJ-005D,HB_20250729175252679169554323VOICE75bad488678a4bb6836e9ad1ddbffc13,"{'main_intent': 'account setup', 'intent_detail': 'Account setup refers to the process of creating a new account.', 'intent_solution': 'Guide through account creation process.'}",1758803301,account setup,Account setup refers to the process of creating a new account.,Guide through account creation process.
68d5356697faae75d3edd9ef,CXJ-005D,HB_20250729180713679348577550VOICE982e76ea23984ee6bd7a618312bda46c,"{'main_intent': 'coverage continuation', 'intent_detail': 'Coverage continuation refers to ensuring ongoing insurance coverage after a policy change or renewal.', 'intent_solution': 'Set up urgent case for reactivation.'}",1758803302,coverage continuation,Coverage continuation refers to ensuring ongoing insurance coverage after a policy change or renewal.,Set up urgent case for reactivation.
68d5356697faae75d3edd9f0,CXJ-005D,HB_20250729181312679348584675VOICEd09197dc5d5c493380fc387b76502c03,"{'main_intent': 'claim denial', 'intent_detail': 'Claim denial refers to the rejection of an insurance claim.', 'intent_solution': 'Created ticket for re-review.'}",1758803302,claim denial,Claim denial refers to the rejection of an insurance claim.,Created ticket for re-review.
68d5356797faae75d3edd9f1,CXJ-005D,HB_20250729181557679348588612VOICE4784d863efea4eb4941b73a08338b02a,"{'main_intent': 'eligibility update', 'intent_detail': 'Eligibility update refers to verifying if a purchase is covered.', 'intent_solution': 'Confirmed weight set eligibility.'}",1758803303,eligibility update,Eligibility update refers to verifying if a purchase is covered.,Confirmed weight set eligibility.
68d5356897faae75d3edd9f2,CXJ-005D,HB_20250729181842679348593799VOICEc4c0d5a65a074877b94a71b2ba9cbec0,"{'main_intent': 'account access', 'intent_detail': 'Account access refers to the ability to view or manage an account.', 'intent_solution': 'Provided correct department contact number.'}",1758803304,account access,Account access refers to the ability to view or manage an account.,Provided correct department contact number.
68d5356897faae75d3edd9f3,CXJ-005D,HB_20250729183307679348615711VOICE50b64874ee1f48ed908f9298427d2f83,"{'main_intent': 'activate card', 'intent_detail': 'Activate card refers to enabling a debit or credit card for use.', 'intent_solution': 'Transferred to activation line.'}",1758803304,activate card,Activate card refers to enabling a debit or credit card for use.,Transferred to activation line.
68d5356997faae75d3edd9f4,CXJ-005D,HB_20250729183353679348616919VOICE42ed0185ee8e43e1b0ff16acd82195bf,"{'main_intent': 'receipt issue', 'intent_detail': 'Receipt issue refers to problems with submitted receipts being rejected.', 'intent_solution': 'Repay through web portal.'}",1758803305,receipt issue,Receipt issue refers to problems with submitted receipts being rejected.,Repay through web portal.
68d5356a97faae75d3edd9f5,CXJ-005D,HB_20250729183633679348620183VOICE9dd1e32e351645349c0802912889605a,"{'main_intent': 'account inquiry', 'intent_detail': 'Account inquiry refers to a request for information about an account.', 'intent_solution': 'Explained account details and balance.'}",1758803306,account inquiry,Account inquiry refers to a request for information about an account.,Explained account details and balance.
68d5356b97faae75d3edd9f6,CXJ-005D,HB_20250729184128679348625736VOICE80a18a4307ea40edbc5447e8090afd9a,"{'main_intent': 'account setup', 'intent_detail': 'Account setup refers to the process of creating a new user account.', 'intent_solution': 'Helped customer complete account setup.'}",1758803307,account setup,Account setup refers to the process of creating a new user account.,Helped customer complete account setup.
68d5356b97faae75d3edd9f7,CXJ-005D,HB_20250729184249679348624841VOICEccbcfd167ea84c28856028d7eaf7aef7,"{'main_intent': 'coverage confirmation', 'intent_detail': 'Coverage confirmation refers to verifying if a specific expense is covered under an insurance policy.', 'intent_solution': 'Confirmed eligible medical expense under FSA.'}",1758803307,coverage confirmation,Coverage confirmation refers to verifying if a specific expense is covered under an insurance policy.,Confirmed eligible medical expense under FSA.
68d5356c97faae75d3edd9f8,CXJ-005D,HB_20250729184833679348630620VOICE0e446f15a5ba4a1da3ed77d0a536705d,"{'main_intent': 'activate card', 'intent_detail': 'activate card refers to enabling a debit card for use.', 'intent_solution': 'activated the card for use'}",1758803308,activate card,activate card refers to enabling a debit card for use.,activated the card for use
68d5356d97faae75d3edd9f9,CXJ-005D,HB_20250729185746679348635666VOICEc2c7d3c528bc43a9ad443e3ea8e67b7a,"{'main_intent': 'account access', 'intent_detail': 'Account access refers to the ability to log into and use an account.', 'intent_solution': 'Updated email and unlocked account.'}",1758803309,account access,Account access refers to the ability to log into and use an account.,Updated email and unlocked account.
68d5356e97faae75d3edd9fa,CXJ-005D,HB_20250729190429679348652770VOICEacd37100135e41349a835553fe4ae2d6,"{'main_intent': 'check balance', 'intent_detail': 'Check balance refers to verifying the available funds in an account.', 'intent_solution': 'Provided current balance information.'}",1758803310,check balance,Check balance refers to verifying the available funds in an account.,Provided current balance information.
68d5356e97faae75d3edd9fb,CXJ-005D,HB_20250729190609679348628423VOICE9ab57db15ae94efa87e799cada6c2d50,"{'main_intent': 'order status', 'intent_detail': ""Order status refers to the current state or progress of a customer's order."", 'intent_solution': 'Confirmed payment and updated invoice.'}",1758803310,order status,Order status refers to the current state or progress of a customer's order.,Confirmed payment and updated invoice.
68d5356f97faae75d3edd9fc,CXJ-005D,HB_20250729190752679348657554VOICEe369e739d13f4f3ca4bee000dcad5d66,"{'main_intent': 'card issue', 'intent_detail': 'Card issue refers to problems with using a payment card.', 'intent_solution': 'Advised manual claim reimbursement.'}",1758803311,card issue,Card issue refers to problems with using a payment card.,Advised manual claim reimbursement.
68d5357097faae75d3edd9fd,CXJ-005D,HB_20250729191208679348627210VOICEf68d765afb5e4d86a291875ef17144e1,"{'main_intent': 'document upload', 'intent_detail': 'Document upload refers to submitting required documents to the system.', 'intent_solution': 'Agent uploaded the documents.'}",1758803312,document upload,Document upload refers to submitting required documents to the system.,Agent uploaded the documents.
68d5357197faae75d3edd9fe,CXJ-005D,HB_20250729191954679348663853VOICEd61a440e0fed4ae6a2e57190e5107807,"{'main_intent': 'report fraud', 'intent_detail': 'report fraud refers to notifying the bank about unauthorized transactions.', 'intent_solution': 'issued a new debit card'}",1758803313,report fraud,report fraud refers to notifying the bank about unauthorized transactions.,issued a new debit card
68d5357197faae75d3edd9ff,CXJ-005D,HB_20250729192037679348673135VOICEb20f8793c52f47c89d50040852a7d94c,"{'main_intent': 'missing debit card', 'intent_detail': 'missing debit card refers to not receiving a debit card.', 'intent_solution': 'ordered a new card'}",1758803313,missing debit card,missing debit card refers to not receiving a debit card.,ordered a new card
68d5357397faae75d3edda00,CXJ-005D,HB_20250729194020679348697210VOICE3bce748c5a964372aec987e174398d32,"{'main_intent': 'check balance', 'intent_detail': 'check balance refers to verifying the remaining funds in an account.', 'intent_solution': 'provided the current balance.'}",1758803315,check balance,check balance refers to verifying the remaining funds in an account.,provided the current balance.
68d5357497faae75d3edda01,CXJ-005D,HB_20250729194049679348698123VOICEeaef213682f64819a9f984c662a5da9c,"{'main_intent': 'account access', 'intent_detail': 'Account access refers to the ability to log into and manage an account online.', 'intent_solution': 'Helped customer unlock and set up account.'}",1758803316,account access,Account access refers to the ability to log into and manage an account online.,Helped customer unlock and set up account.
68d5357597faae75d3edda02,CXJ-005D,HB_20250729194903679348710181VOICE4e3fd2fe69434c17a9ee9fd734e6fa88,"{'main_intent': 'activate card', 'intent_detail': 'activate card refers to enabling a card for transactions.', 'intent_solution': 'contacted team to activate card'}",1758803317,activate card,activate card refers to enabling a card for transactions.,contacted team to activate card
68d5357597faae75d3edda03,CXJ-005D,HB_20250729195017679348711202VOICEaef42fbd7ce747a0a2ef00221180d13d,"{'main_intent': 'termination letter', 'intent_detail': 'A document confirming the end of insurance coverage.', 'intent_solution': 'Advised to contact Cobra administrator.'}",1758803317,termination letter,A document confirming the end of insurance coverage.,Advised to contact Cobra administrator.
68d5357697faae75d3edda04,CXJ-005D,HB_20250729200059679348728346VOICE99ed13e9df5743eeb5bd1aee4105e295,"{'main_intent': 'pin inquiry', 'intent_detail': 'pin inquiry refers to asking about the PIN number associated with a card.', 'intent_solution': 'provided the default PIN.'}",1758803318,pin inquiry,pin inquiry refers to asking about the PIN number associated with a card.,provided the default PIN.
68d5357797faae75d3edda05,CXJ-005D,HB_20250729200618679348735411VOICE03eeb0f11efd4038b7cc2b7ae948446b,"{'main_intent': 'document resend', 'intent_detail': 'Document resend refers to sending a previously sent document again.', 'intent_solution': 'Resent the renewal paperwork.'}",1758803319,document resend,Document resend refers to sending a previously sent document again.,Resent the renewal paperwork.
68d5357897faae75d3edda06,CXJ-005D,HB_20250729202057679348750889VOICE4d8e1bca72084ab4bf62063a87fd6cc6,"{'main_intent': 'coverage confirmation', 'intent_detail': 'Coverage confirmation refers to verifying the scope of insurance benefits.', 'intent_solution': 'Confirmed medical and dental coverage.'}",1758803319,coverage confirmation,Coverage confirmation refers to verifying the scope of insurance benefits.,Confirmed medical and dental coverage.
68d5357897faae75d3edda07,CXJ-005D,HB_20250729202237679348752338VOICE1dddd845fc4640f498a489058aaae46e,"{'main_intent': 'check balance', 'intent_detail': 'check balance refers to verifying the available funds in an account.', 'intent_solution': 'verified balance and activated card'}",1758803320,check balance,check balance refers to verifying the available funds in an account.,verified balance and activated card
68d5357997faae75d3edda08,CXJ-005D,HB_20250729202924679348761670VOICE6a66376c046641ee84948054bddd61a7,"{'main_intent': 'activate card', 'intent_detail': 'activate card refers to enabling a new card for use.', 'intent_solution': 'transferred to debit card team'}",1758803321,activate card,activate card refers to enabling a new card for use.,transferred to debit card team
68d5357a97faae75d3edda09,CXJ-005D,HB_20250729203822679348772015VOICEbdd431d2f58f4d1291562e12d9297040,"{'main_intent': 'account access', 'intent_detail': 'Account access refers to the ability to log into and use an online account.', 'intent_solution': 'Sent email with unlock link.'}",1758803322,account access,Account access refers to the ability to log into and use an online account.,Sent email with unlock link.
68d5357b97faae75d3edda0a,CXJ-005D,HB_20250729204242679348778562VOICE689a0d8ff7704c9db9cdd2075aafb3a8,"{'main_intent': 'spending account usage', 'intent_detail': 'Spending account usage refers to the utilization of funds in a flexible spending account.', 'intent_solution': 'Provided contact number for assistance.'}",1758803323,spending account usage,Spending account usage refers to the utilization of funds in a flexible spending account.,Provided contact number for assistance.
68d5357b97faae75d3edda0b,CXJ-005D,HB_20250729204502679348780051VOICEd4e2b13d1c4943ab9566fdb2f7b64e17,"{'main_intent': 'claim denial', 'intent_detail': 'Claim denial refers to the rejection of a submitted insurance claim.', 'intent_solution': 'Transferred to the right department.'}",1758803323,claim denial,Claim denial refers to the rejection of a submitted insurance claim.,Transferred to the right department.
68d5357c97faae75d3edda0c,CXJ-005D,HB_20250729210107679348799892VOICE4e63af9ceda749b1a1582bf1a780c6de,"{'main_intent': 'cash out funds', 'intent_detail': 'Cash out funds refers to withdrawing money from an account.', 'intent_solution': 'Provided contact number for dedicated team.'}",1758803324,cash out funds,Cash out funds refers to withdrawing money from an account.,Provided contact number for dedicated team.
68d5357d97faae75d3edda0d,CXJ-005D,HB_20250729210502679348806572VOICE76e706445eaf4274b7b6ed3eaf7b1354,"{'main_intent': 'document request', 'intent_detail': 'Document request refers to asking for official paperwork or records.', 'intent_solution': 'Directed customer to correct provider.'}",1758803325,document request,Document request refers to asking for official paperwork or records.,Directed customer to correct provider.
